ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,alofi,-19.0595,-169.9187,71.49,94,44,3.44,NU,1669562973
316,saint anthony,45.0205,-93.218,33.93,84,0,12.66,US,1669562975
317,mahebourg,-20.4081,57.7,77.29,69,40,4.61,MU,1669562826
318,rio grande,-32.035,-52.0986,84.31,72,0,14.25,BR,1669562976
319,edson,53.5835,-116.4356,30.34,51,100,11.5,CA,1669562978
320,hervey bay,-25.2986,152.8535,76.01,77,99,13.94,AU,1669562979
321,novopskov,49.5464,39.0899,35.6,98,100,7.76,UA,1669562980
322,pucallpa,-8.3791,-74.5539,89.64,55,40,0.0,PE,1669562981
323,la rioja,42.25,-2.5,42.58,45,100,2.06,ES,1669562982
324,benguela,-12.5763,13.4055,80.06,75,98,8.3,AO,1669562983
325,magadan,59.5667,150.8,12.22,93,100,16.35,RU,1669562984
326,vangaindrano,-23.35,47.6,76.77,74,0,11.32,MG,1669562985
327,seoul,37.5683,126.9778,49.44,68,0,2.3,KR,1669562987
328,atikokan,48.7555,-91.6216,28.0,74,23,5.61,CA,1669562989
329,severo-kurilsk,50.6789,156.125,34.16,77,60,24.09,RU,1669562990
330,salalah,17.0151,54.0924,78.89,69,20,3.44,OM,1669562991
331,tomatlan,19.9333,-105.25,73.99,62,12,1.9,MX,1669562992
332,ginir,7.1333,40.7,63.41,53,88,3.4,ET,1669562993
333,moron,-34.6534,-58.6198,90.95,68,0,8.5,AR,1669562994
334,dindori,22.95,81.0833,57.97,49,0,2.64,IN,1669562995
335,gornyak,50.9942,81.4661,-23.62,98,15,3.98,RU,1669562997
336,lazaro cardenas,17.9583,-102.2,77.7,72,7,2.89,MX,1669562998
337,mazyr,52.0495,29.2456,28.81,98,100,6.2,BY,1669562999
338,petropavlovka,50.6114,105.3196,-9.2,66,100,7.16,RU,1669563000
339,the valley,18.217,-63.0578,85.86,74,20,12.66,AI,1669563001
340,mpulungu,-8.7623,31.1141,74.97,71,94,1.01,ZM,1669563002
341,saint-francois,46.4154,3.9054,47.64,81,0,2.3,FR,1669563003
342,kitimat,54.0524,-128.6534,30.9,29,97,2.91,CA,1669563004
343,kupang,-10.1667,123.5833,78.71,83,100,4.79,ID,1669563006
344,talara,-4.5772,-81.2719,74.16,68,40,12.66,PE,1669563007
345,usinsk,65.9939,57.5281,-3.14,99,97,11.25,RU,1669563008
346,gazimurskiy zavod,51.5461,118.3266,-18.53,100,93,1.81,RU,1669563009
347,talnakh,69.4865,88.3972,1.2,98,100,10.6,RU,1669563011
348,meulaboh,4.1363,96.1285,77.81,82,100,1.59,ID,1669563012
349,trelew,-43.249,-65.3051,79.72,32,28,14.63,AR,1669563014
350,broome,42.2506,-75.833,49.68,57,100,9.22,US,1669563015
351,vila velha,-20.3297,-40.2925,78.75,83,75,11.5,BR,1669563016
352,bagotville,-28.9833,153.4167,67.15,89,91,5.44,AU,1669563017
353,silver city,32.7701,-108.2803,42.76,32,0,9.22,US,1669563018
354,tome,-36.6167,-72.95,56.01,69,26,7.07,CL,1669563019
355,promyshlennaya,54.9159,85.6385,-19.25,93,85,3.38,RU,1669563021
356,yakeshi,49.2833,120.7333,-12.78,100,94,2.15,CN,1669563022
357,ramhormoz,31.28,49.6035,73.63,45,20,8.41,IR,1669563023
358,mehamn,71.0357,27.8492,31.95,74,0,20.71,NO,1669563025
359,ishigaki,24.3448,124.1572,77.13,83,75,11.5,JP,1669563026
360,narasannapeta,18.4167,84.05,68.67,63,7,2.82,IN,1669563027
361,bitkine,11.9801,18.2138,86.13,15,98,8.46,TD,1669563029
362,zhigansk,66.7697,123.3711,-29.24,97,100,12.37,RU,1669563030
